Name,Unmodelled (BP),,,,,,,,,Modelled (BP),,,,,,,,,"Indices
Amodel 93.9
Aoverall 94.2",,,,
,from,to,%,from,to,%,mu,sigma,median,from,to,%,from,to,%,mu,sigma,median,Acomb,A,L,P,C
IntCal20 Curve(IntCal20.14c),,,,,,,,,,,,,,,,,,,,,,,
 Sequence,,,,,,,,,,,,,,,,,,,,,,,
 Boundary,,,,,,,,,,56540,49180,68.268949,64420,47240,95.449974,54510,4790,53530,,,,,91.7
P23-7 all Phase,,,,,,,,,,,,,,,,,,,,,,,
"UCIAMS 216781 R_Date(30970,320)",35690,34880,68.268949,36070,34670,95.449974,35350,370,35350,35870,35050,68.268949,36100,34700,95.449974,35410,370,35400,,99.1,,,99.7
"UCIAMS 216782 R_Date(38750,840)",43030,42170,68.268949,44090,41920,95.449974,42770,540,42660,43030,42170,68.268949,44090,41910,95.449974,42770,540,42660,,100,,,99.5
"UCIAMS 216783 R_Date(42600,1400)",46800,44200,68.268949,48750,43020,95.449974,45780,1530,45530,46790,44220,68.268949,48590,43060,95.449974,45730,1450,45510,,100.8,,,99
"UCIAMS 216784 R_Date(41500,1200)",45280,43260,68.268949,46840,42730,95.449974,44610,1100,44490,45310,43250,68.268949,46810,42730,95.449974,44600,1090,44490,,100.1,,,99
"UCIAMS 216785 R_Date(50200,3500)",...,50870,68.268949,...,48210,95.449974,51870,2020,52110,52880,48120,68.268949,54980,47120,95.449974,50640,2110,50520,,82.9,,,98.6
"UCIAMS 217079 R_Date(46200,2400)",51990,46520,68.268949,...,45900,95.449974,49790,2550,49560,50600,46030,68.268949,53960,45070,95.449974,49020,2270,48740,,104.1,,,98.8
Event,,,,,,,,,,49640,35210,68.268949,57520,29830,95.449973,43260,7280,43110,,,,,98
 Boundary,,,,,,,,,,35690,31580,68.268949,36090,23320,95.449974,32020,3970,33390,,,,,95.7
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,95% range,64420,23320,,,,,,,,,
,,,,,,,,,,,,event range,57520,29830,,,,,,,,,
,,,,,,,,,,,,median range,53530,33390,,,,,,,,,