type,code
R_date,"R_Date('UCIAMS 191095',35750,610)"
R_date,"R_Date('UCIAMS 191096',35440,580)"
R_date,"R_Date('UCIAMS 191097',35150,580)"
R_date,"R_Date('UCIAMS 191098',36050,630)"
R_date,"R_Date('UCIAMS 191099',33830,480)"
R_date,"R_Date('UCIAMS 191100',35780,600)"
R_date,"R_Date('UCIAMS 191101',46200,2200)"
R_date,"R_Date('UCIAMS 191102',35420,580)"
R_date,"R_Date('UCIAMS 198205',36580,610)"
R_combine_1,"R_Date('UCIAMS 198206',30480,290)"
R_date,"R_Date('UCIAMS 198207',31830,340)"
R_date,"R_Date('UCIAMS 198208',25620,160)"
R_date,"R_Date('UCIAMS 198294',39700,810)"
R_date,"R_Date('UCIAMS 198295',33070,350)"
R_date,"R_Date('UCIAMS 198296',47400,2000)"
R_date,"R_Date('UCIAMS 198297',28600,210)"
R_date,"R_Date('UCIAMS 198298',26310,150)"
R_combine_1,"R_Date('UCIAMS 198302',30870,270)"
R_date,"R_Date('UCIAMS 216760',5925,20)"
R_date,"R_Date('UCIAMS 216761',11105,25)"
R_date,"R_Date('UCIAMS 216762',43700,1600)"
R_date,"R_Date('UCIAMS 216763',36880,660)"
R_date,"R_Date('UCIAMS 216764',36350,620)"
R_date,"R_Date('UCIAMS 216765',28600,240)"
R_date,"R_Date('UCIAMS 216766',13990,40)"
R_date,"R_Date('UCIAMS 216767',14390,40)"
R_combine_2,"R_Date('UCIAMS 216768',41000,1100)"
R_date,"R_Date('UCIAMS 216769',42900,1400)"
R_combine_3,"R_Date('UCIAMS 216770',35740,570)"
R_date,"R_Date('UCIAMS 216771',30320,290)"
R_date,"R_Date('UCIAMS 216772',2375,15)"
R_date,"R_Date('UCIAMS 216773',31340,330)"
R_date,"R_Date('UCIAMS 216779',31000,320)"
R_date,"R_Date('UCIAMS 216780',30900,320)"
R_date,"R_Date('UCIAMS 216781',30970,320)"
R_date,"R_Date('UCIAMS 216782',38750,840)"
R_date,"R_Date('UCIAMS 216783',42600,1400)"
R_date,"R_Date('UCIAMS 216784',41500,1200)"
R_date,"R_Date('UCIAMS 216785',50200,3500)"
R_combine_2,"R_Date('UCIAMS 217076',42900,1400)"
R_combine_3,"R_Date('UCIAMS 217077',35550,560)"
R_date,"R_Date('UCIAMS 217078',28500,240)"
R_date,"R_Date('UCIAMS 217079',46200,2400)"
R_date,"R_Date('UCIAMS 223493',4505,20)"
R_date,"R_Date('UCIAMS 223494',2650,25)"
R_combine_4,"R_Date('UCIAMS 223495',38740,640)"
R_date,"R_Date('UCIAMS 223496',40640,800)"
R_date,"R_Date('UCIAMS 223497',39240,670)"
R_date,"R_Date('UCIAMS 223498',34800,390)"
R_date,"R_Date('UCIAMS 223499',33590,340)"
R_date,"R_Date('UCIAMS 223500',35230,410)"
R_date,"R_Date('UCIAMS 223501',35270,410)"
R_date,"R_Date('UCIAMS 223502',44000,1200)"
R_date,"R_Date('UCIAMS 223503',46200,1600)"
R_date,"R_Date('UCIAMS 223504',47400,1800)"
R_date,"R_Date('UCIAMS 223505',33260,320)"
R_date,"R_Date('UCIAMS 223506',36260,470)"
R_date,"R_Date('UCIAMS 223507',31230,270)"
R_date,"R_Date('UCIAMS 223508',31980,280)"
R_date,"R_Date('UCIAMS 223509',32660,300)"
R_date,"R_Date('UCIAMS 223513',25830,140)"
R_date,"R_Date('UCIAMS 223515',27200,160)"
R_date,"R_Date('UCIAMS 223516',26780,160)"
R_date,"R_Date('UCIAMS 223517',36870,500)"
R_date,"R_Date('UCIAMS 223518',49800,2500)"
R_date,"R_Date('UCIAMS 223519',49400,2400)"
R_date,"R_Date('UCIAMS 223520',28750,190)"
R_combine_5,"R_Date('UCIAMS 223521',26940,320)"
R_date,"R_Date('UCIAMS 223522',38490,610)"
R_combine_4,"R_Date('UCIAMS 223585',39220,460)"
R_combine_5,"R_Date('UCIAMS 223587',26710,110)"
R_date,"R_Date('UCIAMS 198199',35770,550)"
R_date,"R_Date('UCIAMS 198200',35050,510)"
R_date,"R_Date('UCIAMS 198201',32500,370)"
R_date,"R_Date('UCIAMS 198202',35900,560)"
R_date,"R_Date('UCIAMS 198203',33100,620)"
R_date,"R_Date('UCIAMS 198204',36160,910)"
R_date,"R_Date('UCIAMS 223524',28090,180)"
R_date,"R_Date('UCIAMS 223525',31460,260)"
R_date,"R_Date('UCIAMS 223526',30540,240)"
R_date,"R_Date('UCIAMS 223527',35870,450)"
R_date,"R_Date('UCIAMS 223528',6155,25)"
R_date,"R_Date('UCIAMS 223529',28370,180)"