"UCIAMS_Number","Species","Taxon","Time","Group","del13C_permil","del15N_permil"
"Y2450","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-19.4,7.7
"Y2427","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-19.8,8.4
"Y5507","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-19.4,7.6
"Y2260","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-20.4,8.1
"Y2235","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-20.7,8.8
"Y2313","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-19.9,9
"Y5486","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-20,8.7
"HC23969","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-20.9,8.2
"Y5484","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-20.6,9.6
"HC23970","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-20.6,10
"HC23974","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-21.2,11
"Y2421","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-20.4,8.4
"Y2432","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-20.4,9.7
"HC36190","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-20.8,11.2
"HC33276","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-19.8,9.2
"HC46647","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-20,9.1
"HC36876","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-19.1,9.9
"P23-22780 ","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-19.2,10.72
"P23-2798","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-20,7.9
"P23-16259  ","Bison antiquus","Bison ","Pleistocene","Megaherbivore",-20.1,9.8
"Z1389","Camelops hesternus","Camelops ","Pleistocene","Megaherbivore",-20.4,8.3
"Z1117","Camelops hesternus","Camelops ","Pleistocene","Megaherbivore",-19.6,7.5
"Z1276","Camelops hesternus","Camelops ","Pleistocene","Megaherbivore",-20.3,9.7
"Z1273","Camelops hesternus","Camelops ","Pleistocene","Megaherbivore",-20.7,9
"Z1268","Camelops hesternus","Camelops ","Pleistocene","Megaherbivore",-21,9.9
"Z1279","Camelops hesternus","Camelops ","Pleistocene","Megaherbivore",-20.4,8.8
"Z1281","Camelops hesternus","Camelops ","Pleistocene","Megaherbivore",-20.6,9
"none","Camelops hesternus","Camelops ","Pleistocene","Megaherbivore",-20.4,8.9
"none","Camelops hesternus","Camelops ","Pleistocene","Megaherbivore",-20.5,9.8
"none","Camelops hesternus","Camelops ","Pleistocene","Megaherbivore",-20.6,8.8
"none","Camelops hesternus","Camelops ","Pleistocene","Megaherbivore",-20.8,8.4
"none","Camelops hesternus","Camelops ","Pleistocene","Megaherbivore",-20.5,8.7
"P23-2079","Camelops hesternus","Camelops ","Pleistocene","Megaherbivore",-19.6,8.2
"Z4629","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-20.8,4.9
"Z4628","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-20.8,6.9
"Z4642","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-21.2,6.3
"Z4561","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-21.2,8
"Z4719","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-21.6,6.5
"Z4800","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-21.2,6.8
"Z4591","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-21.1,6.7
"Z4599","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-20.7,6.2
"Z4602","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-21.7,6.8
"Z4612","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-22,4.4
"Z4620","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-21.2,6.1
"Z4639","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-21.7,6.3
"Z4636","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-21.6,4.7
"Z4649","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-21.2,7.6
"Z4625","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-21.6,8.2
"R37133","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-21.2,5.8
"R32957","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-21,6.4
"R28217","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-21,4
"R28300","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-21.4,4.3
"P23 22781 ","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-21.2,4.84
"P23 6549","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-20.8,9.8
"P23-4144","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-21,6.3
"P23-4144 ","Equus occidentalis","Equus ","Pleistocene","Megaherbivore",-20.7,6.7
"Z1078","Mammut americanum","Mammut ","Pleistocene","Megaherbivore",-20,5.1
"HC60247","Mammut americanum","Mammut ","Pleistocene","Megaherbivore",-20,4.4
"HC60227","Mammut americanum","Mammut ","Pleistocene","Megaherbivore",-19.9,4.4
"HC85229","Mammut americanum","Mammut ","Pleistocene","Megaherbivore",-20.5,4.2
"HC85217","Mammut americanum","Mammut ","Pleistocene","Megaherbivore",-20.5,4.2
"HC85216","Mammut americanum","Mammut ","Pleistocene","Megaherbivore",-20.7,4.3
"HC85219","Mammut americanum","Mammut ","Pleistocene","Megaherbivore",-20.8,4.3
"1713–L10","Paramylodon harlani","Paramylodon ","Pleistocene","Megaherbivore",-20.7,7.3
"none","Paramylodon harlani","Paramylodon ","Pleistocene","Megaherbivore",-20.4,6.4
"none","Paramylodon harlani","Paramylodon ","Pleistocene","Megaherbivore",-21.2,6.7
"1713–L29","Paramylodon harlani","Paramylodon ","Pleistocene","Megaherbivore",-20.7,7.2
"1713–R25","Paramylodon harlani","Paramylodon ","Pleistocene","Megaherbivore",-20,10.1
"1713–L25","Paramylodon harlani","Paramylodon ","Pleistocene","Megaherbivore",-21.4,8.6
"1713–R26","Paramylodon harlani","Paramylodon ","Pleistocene","Megaherbivore",-21.5,9.5
"none","Paramylodon harlani","Paramylodon ","Pleistocene","Megaherbivore",-21.3,8.5
"HC13872","Paramylodon harlani","Paramylodon ","Pleistocene","Megaherbivore",-21.5,8.2
"HC38414","Paramylodon harlani","Paramylodon ","Pleistocene","Megaherbivore",-21.4,6.7
"P23 14325","Paramylodon harlani","Paramylodon ","Pleistocene","Megaherbivore",-20.8,10.5
"P23-5072","Paramylodon harlani","Paramylodon ","Pleistocene","Megaherbivore",-20.2,9.6
"P23-2254","Paramylodon harlani","Paramylodon ","Pleistocene","Megaherbivore",-20.2,9.1
"P23-10571","Paramylodon harlani","Paramylodon ","Pleistocene","Megaherbivore",-20.5,8.9
"191095","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.3,8.4
"191096","S. bachmani","Sylvilagus","Pleistocene","Herbivore",-22.5,4.5
"191097","S. bachmani","Sylvilagus","Pleistocene","Herbivore",-22.4,6.7
"191098","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.4,7.4
"191099","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.1,9.1
"191100","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.5,7.3
"191101","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-20.5,8.1
"191102","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.3,7.3
"191103","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.7,8.5
"191104","S. bachmani","Sylvilagus","Pleistocene","Herbivore",-22.3,7.3
"191105","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.7,7.3
"191242","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.1,4.3
"198205","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.7,7
"198207","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.9,8.5
"198208","Neotoma sp","Neotoma","Pleistocene","Herbivore",-21.1,8.2
"198294","S. bachmani","Sylvilagus","Pleistocene","Herbivore",-20.9,5.5
"198295","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.8,8.8
"198296","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-19.3,3.2
"198297","Thomomys sp","Thomomys","Pleistocene","Herbivore",-21.6,3.9
"198298","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.9,7
"216760","S. audubonii","Sylvilagus","Holocene","Herbivore",-20.8,3.6
"216761","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21.1,5.9
"216762","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21.2,4.5
"216763","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.4,7.6
"216764","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21,6.9
"216765","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.3,8.4
"216766","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-22,7.6
"216767","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.9,4.9
"216769","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.3,5.2
"216771","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-22.5,6.9
"216772","Otospermophilus","Otospermophilus","Holocene","Herbivore",-20.7,3.8
"216773","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.4,6.3
"216779","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.7,5.3
"216780","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21.4,4.5
"216781","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21.5,6.6
"216783","Leporidae","Sylvilagus","Pleistocene","Herbivore",-21.6,4.9
"216784","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.7,5.6
"216785","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-22.1,5.3
"217078","S. bachmani","Sylvilagus","Pleistocene","Herbivore",-22.3,8.2
"217079","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.4,6.6
"223493","Otospermophilus","Otospermophilus","Holocene","Herbivore",-18.5,9.9
"223494","Sylvilagus sp","Sylvilagus","Holocene","Herbivore",-18.8,6.2
"223496","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.9,6.2
"223497","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-22,7
"223498","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21.2,8.7
"223499","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.5,4.2
"223500","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21,3.7
"223501","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21.2,3.9
"223502","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.4,7.2
"223503","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.4,5.7
"223504","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.1,6.8
"223505","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.9,7.3
"223506","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.2,8.2
"223507","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-22.2,6.4
"223508","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.1,9.4
"223509","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21.2,6.2
"223513","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.3,7.2
"223514","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.6,6.2
"223516","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-20.9,7.9
"223517","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.4,7.2
"223518","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.7,6.9
"223523","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21,9.6
"198201","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.4,7.6
"198202","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21.4,4.4
"198203","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21,4
"198204","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21.1,3.8
"223524","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-20.9,7.2
"223525","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.1,8.6
"223526","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.2,8.1
"223527","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.3,4.5
"223528","Otospermophilus","Otospermophilus","Holocene","Herbivore",-18.6,4.4
"223529","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-19.3,9.4
"198302","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.2,6.7
"216768","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.8,7.8
"216770","S. bachmani","Sylvilagus","Pleistocene","Herbivore",-22.1,6.9
"223585","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.4,5.2
"223587","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.3,6.4
