community,n,SEA,SEAc,lower95CI,upper95CI
Holocene.Sylvilagus,2,1.09E-07,Inf,0.369600114,34.49381265
Holocene.Otospermophilus,3,10.42027735,20.8405547,1.680308621,42.6382747
Pleistocene.Sylvilagus,40,1.89189743,1.941684205,1.350188388,2.528011611
Pleistocene.Otospermophilus,24,3.155796985,3.299242302,1.983392297,4.63107573
AllTaxa.Pleistocene,64,3.080364583,3.130047882,2.350455228,3.903915017
AllTaxa.Holocene,5,6.973184917,9.297579889,2.362619241,19.64824201
Pleistocene.Sylvilagus,40,1.89189743,1.941684205,1.348501544,2.541351555
Pleistocene.Otospermophilus,24,3.155796985,3.299242302,1.998848526,4.769939279
Pleistocene.Sylvilagus,40,1.89189743,1.941684205,1.348501544,2.541351555
Pleistocene.Otospermophilus,24,3.155796985,3.299242302,1.998848526,4.769939279